geoid,Tract,Tract Number,Neighborhood,Location,Latitude,Longitude
06037122200,"Census Tract 1222, Los Angeles County, California",122200,Sun Valley,"(34.214391, -118.3596165)",34.214391,-118.3596165
06037122410,"Census Tract 1224.10, Los Angeles County, California",122410,Sun Valley,"(34.204063, -118.3921485)",34.204063,-118.3921485
06037122420,"Census Tract 1224.20, Los Angeles County, California",122420,Sun Valley,"(34.203194, -118.3834125)",34.203194,-118.3834125
06037123010,"Census Tract 1230.10, Los Angeles County, California",123010,Sun Valley,"(34.202326, -118.374682)",34.202326,-118.374682
06037123020,"Census Tract 1230.20, Los Angeles County, California",123020,Sun Valley,"(34.2048255, -118.366247)",34.2048255,-118.366247
06037123103,"Census Tract 1231.03, Los Angeles County, California",123103,North Hollywood,"(34.1906295, -118.365029)",34.1906295,-118.365029
06037123104,"Census Tract 1231.04, Los Angeles County, California",123104,North Hollywood,"(34.183057, -118.364585)",34.183057,-118.364585
06037123203,"Census Tract 1232.03, Los Angeles County, California",123203,North Hollywood,"(34.195833, -118.392147)",34.195833,-118.392147
06037123204,"Census Tract 1232.04, Los Angeles County, California",123204,North Hollywood,"(34.193936, -118.39433)",34.193936,-118.39433
06037123205,"Census Tract 1232.05, Los Angeles County, California",123205,North Hollywood,"(34.194979, -118.383413)",34.194979,-118.383413
06037123206,"Census Tract 1232.06, Los Angeles County, California",123206,North Hollywood,"(34.1941185, -118.3746795)",34.1941185,-118.3746795
06037123301,"Census Tract 1233.01, Los Angeles County, California",123301,North Hollywood,"(34.199392, -118.401141)",34.199392,-118.401141
06037123303,"Census Tract 1233.03, Los Angeles County, California",123303,Valley Glen,"(34.1975515, -118.411425)",34.1975515,-118.411425
06037123304,"Census Tract 1233.04, Los Angeles County, California",123304,Valley Glen,"(34.19712, -118.4056305)",34.19712,-118.4056305
06037123410,"Census Tract 1234.10, Los Angeles County, California",123410,Valley Glen,"(34.197565, -118.4224435)",34.197565,-118.4224435
06037123420,"Census Tract 1234.20, Los Angeles County, California",123420,Valley Glen,"(34.1939335, -118.418128)",34.1939335,-118.418128
06037123510,"Census Tract 1235.10, Los Angeles County, California",123510,Valley Glen,"(34.195752, -118.4268885)",34.195752,-118.4268885
06037123520,"Census Tract 1235.20, Los Angeles County, California",123520,Valley Glen,"(34.190302, -118.4244185)",34.190302,-118.4244185
06037123601,"Census Tract 1236.01, Los Angeles County, California",123601,Valley Glen,"(34.177484, -118.417834)",34.177484,-118.417834
06037123602,"Census Tract 1236.02, Los Angeles County, California",123602,Valley Glen,"(34.1794765, -118.42688)",34.1794765,-118.42688
06037123700,"Census Tract 1237, Los Angeles County, California",123700,Valley Glen,"(34.184859, -118.409517)",34.184859,-118.409517
06037123800,"Census Tract 1238, Los Angeles County, California",123800,Valley Glen,"(34.181224, -118.400846)",34.181224,-118.400846
06037123901,"Census Tract 1239.01, Los Angeles County, California",123901,North Hollywood,"(34.1848585, -118.394806)",34.1848585,-118.394806
06037123902,"Census Tract 1239.02, Los Angeles County, California",123902,North Hollywood,"(34.176766, -118.3921365)",34.176766,-118.3921365
06037124000,"Census Tract 1240, Los Angeles County, California",124000,Valley Village,"(34.162959, -118.4048165)",34.162959,-118.4048165
06037124102,"Census Tract 1241.02, Los Angeles County, California",124102,North Hollywood,"(34.175783, -118.383398)",34.175783,-118.383398
06037124103,"Census Tract 1241.03, Los Angeles County, California",124103,North Hollywood,"(34.1884915, -118.3834125)",34.1884915,-118.3834125
06037124104,"Census Tract 1241.04, Los Angeles County, California",124104,North Hollywood,"(34.1848615, -118.383409)",34.1848615,-118.383409
06037124105,"Census Tract 1241.05, Los Angeles County, California",124105,North Hollywood,"(34.181229, -118.383405)",34.181229,-118.383405
06037124201,"Census Tract 1242.01, Los Angeles County, California",124201,North Hollywood,"(34.1848665, -118.374674)",34.1848665,-118.374674
06037124203,"Census Tract 1242.03, Los Angeles County, California",124203,North Hollywood,"(34.177602, -118.3746645)",34.177602,-118.3746645
06037124204,"Census Tract 1242.04, Los Angeles County, California",124204,North Hollywood,"(34.1739735, -118.3746565)",34.1739735,-118.3746565
06037124300,"Census Tract 1243, Los Angeles County, California",124300,North Hollywood,"(34.175793, -118.36403)",34.175793,-118.36403
06037124400,"Census Tract 1244, Los Angeles County, California",124400,Valley Glen,"(34.1738495, -118.409707)",34.1738495,-118.409707
06037124500,"Census Tract 1245, Los Angeles County, California",124500,Valley Glen,"(34.1741095, -118.4246955)",34.1741095,-118.4246955
06037124600,"Census Tract 1246, Los Angeles County, California",124600,Sherman Oaks,"(34.161935, -118.4268715)",34.161935,-118.4268715
06037124902,"Census Tract 1249.02, Los Angeles County, California",124902,Valley Village,"(34.170222, -118.4008735)",34.170222,-118.4008735
