geoid,Tract Number,Neighborhood,Location,Latitude,Longitude,Census_Tract
06037236204,236204,Baldwin Hills/Crenshaw,"(34.014877, -118.349074)",34.014877,-118.349074,Census Tract 2362.04
06037236400,236400,Baldwin Hills/Crenshaw,"(34.0049835, -118.349179)",34.0049835,-118.349179,Census Tract 2364
06037237101,237101,Vermont-Slauson,"(33.9855155, -118.291439)",33.9855155,-118.291439,Census Tract 2371.01
06037237102,237102,Vermont-Slauson,"(33.9856665, -118.283741)",33.9856665,-118.283741,Census Tract 2371.02
06037237201,237201,Vermont-Slauson,"(33.985727, -118.299118)",33.985727,-118.299118,Census Tract 2372.01
06037237202,237202,Chesterfield Square,"(33.985482, -118.310035)",33.985482,-118.310035,Census Tract 2372.02
06037237300,237300,Chesterfield Square,"(33.978464, -118.3111655)",33.978464,-118.3111655,Census Tract 2373
06037237401,237401,Vermont-Slauson,"(33.9784655, -118.2947775)",33.9784655,-118.2947775,Census Tract 2374.01
06037237402,237402,Harvard Park,"(33.978462, -118.3013325)",33.978462,-118.3013325,Census Tract 2374.02
06037237500,237500,Vermont-Slauson,"(33.978414, -118.289297)",33.978414,-118.289297,Census Tract 2375
06037237600,237600,Vermont-Slauson,"(33.978508, -118.283801)",33.978508,-118.283801,Census Tract 2376
06037237710,237710,Vermont Knolls,"(33.972693, -118.28613)",33.972693,-118.28613,Census Tract 2377.10
06037237720,237720,Vermont Knolls,"(33.9692975, -118.286182)",33.9692975,-118.286182,Census Tract 2377.20
06037237800,237800,Vermont Knolls,"(33.9709525, -118.298091)",33.9709525,-118.298091,Census Tract 2378
06037237900,237900,Manchester Square,"(33.970932, -118.311186)",33.970932,-118.311186,Census Tract 2379
06037238000,238000,Gramercy Park,"(33.945472, -118.3089905)",33.945472,-118.3089905,Census Tract 2380
06037238100,238100,Manchester Square,"(33.963625, -118.3111985)",33.963625,-118.3111985,Census Tract 2381
06037238200,238200,Vermont Knolls,"(33.963641, -118.2981045)",33.963641,-118.2981045,Census Tract 2382
06037238310,238310,Vermont Knolls,"(33.9660195, -118.2861825)",33.9660195,-118.2861825,Census Tract 2383.10
06037238320,238320,Vermont Knolls,"(33.962152, -118.2861365)",33.962152,-118.2861365,Census Tract 2383.20
