Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score,CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char.,Pop. Char. Score,Pop. Char. Pctl
06037134303,5942,Los Angeles,91303,Los Angeles,-118.611899,34.203248,41.06,76.74,75-80%,CalEnviroScreen 4.0 Top 25%,0.059,79.99,11.0936932,55.68,0.122,43.86,726.64,83.13,48.39,49.3,5.51,55,493.4943415,51.28,911.9347794,52.44,0,0,22,71.09,0.35,56.4,4,43.78,1.5,42.31,53.46,6.53,79.07,56.97,65.43,5.29,59.56,13.9,59.63,21.9,68.03,8.4,55.15,26.1,46.61,6,57.25,22.3,71.57,60.63,6.29,66.44
06037134304,3042,Los Angeles,91304,Los Angeles,-118.6102868,34.213933,41.05,76.71,75-80%,CalEnviroScreen 4.0 Top 25%,0.06,82.48,11.18491889,56.61,0.143,49.42,726.64,83.13,63.24,70.43,0,0,485.6119969,51.04,1026.456359,59.68,0.1,2.07,9.25,44.18,0.36,57.46,4,43.78,1.2,37.57,50.07,6.11,70.5,58.61,67.67,6.74,87.09,13.1,54.71,16.1,57.92,10.8,64.81,27.7,50.01,5.7,53.89,22.3,71.57,64.73,6.71,72.53
06037211804,3221,Los Angeles,90020,Los Angeles,-118.3066067,34.0671619,40.95,76.59,75-80%,CalEnviroScreen 4.0 Top 25%,0.048,51.9,12.08514397,83.42,0.243,69.16,787.94,92.53,45.39,44.86,0,0,1682.291626,75.62,1426.912014,76.19,0.95,11.93,6.5,36.16,0.175,30.17,0,0,0.5,22.08,47.83,5.84,64.49,52.8,60.03,5.28,59.31,15.82,70.66,9.5,40.07,39.2,98.4,44.4,75.3,5.4,49.86,34.3,95.64,67.6,7.01,76.74
06037123800,6018,Los Angeles,91606,Los Angeles,-118.4014361,34.1797368,40.88,76.41,75-80%,CalEnviroScreen 4.0 Top 25%,0.06,82.63,11.49534692,60.71,0.177,57.82,726.64,83.13,50.43,52.22,0,0,1034.27535,64.29,2509.978931,92.71,36.5,91.68,3,22.12,0.05,7.35,4,43.78,0.2,9.67,52.77,6.44,77.51,40.88,42.88,6.88,88.72,14.46,63.16,12.8,50.24,10.6,64.14,32.5,57.79,3.9,29.41,27.3,85.5,61.17,6.35,67.44
06037224310,2422,Los Angeles,90006,Los Angeles,-118.2827213,34.044384,40.87,76.4,75-80%,CalEnviroScreen 4.0 Top 25%,0.047,48.45,12.18410918,87.99,0.62,93.48,787.94,92.53,95.88,99.66,0,0,2100.250672,80.18,1250.225218,70.71,7,50.32,0,0,0.175,30.17,0,0,0,0,53.12,6.49,78.39,45.55,49.7,4.02,27.12,11.24,39.89,41.3,90.89,45.3,99.12,70.1,97.34,4.4,36.44,29.2,89.21,60.75,6.3,66.58
06037221900,4248,Los Angeles,90007,Los Angeles,-118.2895621,34.0267694,40.81,76.32,75-80%,CalEnviroScreen 4.0 Top 25%,0.046,44.98,12.05189368,81.27,0.666,94.8,787.94,92.53,60.75,66.84,0,0,2391.424642,81.98,1075.691946,62.66,0.25,4.12,0,0,0.4,61.58,0,0,0,0,48.14,5.88,65.44,48.36,54.06,1.65,0.98,15.22,67.81,28.2,77.87,26.6,93.6,85.4,99.8,15.8,97.42,34.8,95.97,66.94,6.94,75.79
06037294301,2471,Los Angeles,90744,Los Angeles,-118.2795526,33.7946618,40.8,76.31,75-80%,CalEnviroScreen 4.0 Top 25%,0.04,20.85,11.78762745,69.35,0.321,78.48,391.08,42.43,71.84,81.25,0,0,13364.19987,98.61,1759.781629,83.09,7.65,51.74,34.25,82.75,0.205,35.98,10,82.97,0,0,56.4,6.89,85.12,76.33,83,3.76,21.26,21.61,92.82,27.2,76.49,12.4,69.79,25,44.41,2.3,8.69,15.9,43.28,57.11,5.92,61.09
06037219500,2084,Los Angeles,90016,Los Angeles,-118.3405648,34.0209191,40.75,76.27,75-80%,CalEnviroScreen 4.0 Top 25%,0.045,39.99,11.91626655,73.9,0.106,39.32,787.94,92.53,68.21,76.74,0,0,2291.115987,81.41,505.076388,21.21,3.4,32.44,18,65.32,0.42,63.07,0,0,0.5,22.08,47.62,5.81,63.91,89.62,89.47,9.52,99.27,14.9,65.72,8.4,35.88,10.8,64.81,21.9,38.13,9.7,84.98,12.9,27.78,67.57,7.01,76.68
06037183810,4163,Los Angeles,90042,Los Angeles,-118.1978495,34.107365,40.67,76.1,75-80%,CalEnviroScreen 4.0 Top 25%,0.053,67.9,11.82898336,70.55,0.245,69.36,488.79,59.71,76.49,86.05,0,0,1432.822652,72.06,1046.113703,60.91,0.6,8.04,3,22.12,0.05,7.35,2,23.88,0,0,44.64,5.45,55.78,47.69,53.19,6.32,80.73,12.3,48.92,32.4,82.92,20.3,87.02,42,72.09,10.5,88.08,26.8,84.46,71.93,7.46,82.67
06037212701,2276,Los Angeles,90019,Los Angeles,-118.3193139,34.0543037,40.6,76.06,75-80%,CalEnviroScreen 4.0 Top 25%,0.047,48.45,12.06166379,81.87,0.102,37.86,787.94,92.53,69.56,78.63,0,0,1819.320292,77.23,1275.539339,71.53,2.5,28.44,10.8,49.05,0.395,60.23,0,0,0,0,49.86,6.09,69.96,42.74,45.83,10.09,99.58,8.74,18.88,21,66.46,32.8,96.79,43.7,74.28,4.7,40.6,30.3,91.04,64.3,6.67,71.9
06037211120,5635,Los Angeles,90020,Los Angeles,-118.2877775,34.0652365,40.6,76.05,75-80%,CalEnviroScreen 4.0 Top 25%,0.048,51.9,12.12928682,86.22,0.557,91.67,787.94,92.53,42.75,40.92,0,0,1790.62795,76.89,956.4438281,55.43,12.85,70.62,2.5,16.75,0.695,78.05,0,0,0.1,2.52,52.49,6.41,76.79,35.92,34.93,5.2,57.56,10.66,35.32,15.5,56.48,34,97.29,45.1,76.24,9.1,82.33,27.2,85.27,61.06,6.33,67.22
06037189201,3216,Los Angeles,90027,Los Angeles,-118.2961605,34.1035829,40.55,75.95,75-80%,CalEnviroScreen 4.0 Top 25%,0.05,60.66,11.99265418,77.77,0.116,42.24,787.94,92.53,57.96,62.94,0,0,1402.067709,71.44,923.724974,53.23,0,0,2.3,15.14,1.12,86.75,0,0,0,0,45.19,5.52,57.25,43.46,46.82,6.15,78.21,21.11,90.84,9.7,40.81,14.7,76.64,41.7,71.71,6.3,60.57,41,98.94,70.85,7.35,81.15
06037213401,4859,Los Angeles,90006,Los Angeles,-118.2879026,34.0537069,40.55,75.93,75-80%,CalEnviroScreen 4.0 Top 25%,0.047,48.45,12.17561826,87.78,0.406,85.23,787.94,92.53,64.42,72.09,0,0,1908.877319,78.29,1299.531172,72.25,4.05,37.59,0.75,4.42,0.03,4.12,0,0,0,0,47.79,5.84,64.39,54.24,61.93,3.5,16.22,14.33,62.36,38.8,89.05,43.1,98.94,59,90.94,6.2,59.38,37,97.41,66.99,6.95,75.87
06037119341,2890,Los Angeles,91402,Los Angeles,-118.4458757,34.2371667,40.52,75.91,75-80%,CalEnviroScreen 4.0 Top 25%,0.066,95.27,11.6143557,63.61,0.264,72.36,726.64,83.13,44.49,43.6,0,0,637.2433472,56.25,904.8160579,51.85,36,91.04,5,30.88,0.11,19.25,0,0,0,0,48.25,5.89,65.86,58.49,67.35,4.87,48.77,12.12,46.83,30.8,81.14,24.6,91.95,45.4,76.71,10.5,88.08,17.9,53.62,66.31,6.88,74.82
06037106648,4546,Los Angeles,91342,Los Angeles,-118.4558345,34.2930983,40.46,75.79,75-80%,CalEnviroScreen 4.0 Top 25%,0.067,97,11.15277668,56.32,0.281,74.31,726.64,83.13,77.06,86.6,0,0,624.2246806,55.89,607.7508307,29.06,0.1,2.07,11.25,50.14,1.295,88.8,0,0,4,70.42,54.29,6.63,80.88,52.02,58.95,5.56,65.83,10.48,34.01,42.2,91.53,13.6,73.1,40.9,70.44,2.5,10.66,24.3,78.11,58.85,6.1,63.73
06037237900,4405,Los Angeles,90047,Los Angeles,-118.3111925,33.9709293,40.46,75.78,75-80%,CalEnviroScreen 4.0 Top 25%,0.044,35.16,12.02165432,79.51,0.052,18.87,787.94,92.53,87.71,95.26,0,0,4245.516642,90.3,850.7356014,47.96,0,0,7.5,39.45,0.04,5.03,0,0,0.2,9.67,41.91,5.12,48.24,125.13,96.51,5.96,74.39,17.65,79.35,18.2,61.66,4.3,33.31,35.1,61.91,12.9,94.09,32.7,94.16,76.22,7.91,88.33
